month	mouse	ID	GFP	B	T	CD19negCD3posCD11bpos	M	CD19negCD3negCD11bneg	numb
6	5	931-27052014_Mouse 1199334.fcs	GFP-	37.8	4.84	1.42	36	6.76	48649
6	mock3	931-27052014_Mouse 1199335.fcs	GFP-	67.3	4.4	0.14	15.8	4.31	379202
7	mock1	931-26062014_Mouse 1177160.fcs	GFP-	65.4	14.4	7.40E-01	12.1	1.43	816751
7	1	931-26062014_Mouse 1186366.fcs	GFP-	76.6	5.96	0.35	10.9	1.32	1.30E+05
7	2	931-26062014_Mouse 1186367.fcs	GFP-	73.9	3.08	3.00E-01	15.9	1.17	132670
7	mock2	931-26062014_Mouse 1189248.fcs	GFP-	77.6	3.51	0.38	8.02	1.24	90478
7	3	931-26062014_Mouse 1189249.fcs	GFP-	65.6	7.03	0.6	17.8	0.86	129369
7	4	931-26062014_Mouse 1189250.fcs	GFP-	74.1	5.01	4.30E-01	11	1.83	146943
7	5	931-26062014_Mouse 1199334.fcs	GFP-	71.1	10	0.6	9.69	1.84	156782
7	mock3	931-26062014_Mouse 1199335.fcs	GFP-	81.2	3.15	0.36	6.33	1.42	167142
8	mock1	931-27072014_Mouse 1177160.fcs	GFP-	67.7	11.6	0.46	14.1	3.13	148282
8	1	931-27072014_Mouse 1186366.fcs	GFP-	69.2	5.6	0.46	17.9	2.55	154719
8	2	931-27072014_Mouse 1186367.fcs	GFP-	64	2.32	0.29	15.8	10.8	196509
8	mock2	931-27072014_Mouse 1189248.fcs	GFP-	48.6	5.1	0.86	25.3	11.2	85026
8	3	931-27072014_Mouse 1189249.fcs	GFP-	76.1	7.02	0.55	12.2	1.66	437417
8	4	931-27072014_Mouse 1189250.fcs	GFP-	60	9.09	0.45	23.1	2.56	150604
8	5	931-27072014_Mouse 1199334.fcs	GFP-	68.6	10.1	0.23	8.24	7.56	373929
8	mock3	931-27072014_Mouse 1199335.fcs	GFP-	67	12.4	0.46	7.52	4.86	428209
9	mock1	931-27082014_Mouse 1177160.fcs	GFP-	26.1	8.39	0.14	10	36.5	60960
9	1	931-27082014_Mouse 1186366.fcs	GFP-	35	5.8	0.12	15	28.7	116814
9	2	931-27082014_Mouse 1186367.fcs	GFP-	22.3	3.35	0.089	17.3	41.1	588587
9	mock2	931-27082014_Mouse 1189248.fcs	GFP-	23	2.56	0.16	26.2	33.6	318244
9	3	931-27082014_Mouse 1189249.fcs	GFP-	18.5	4.34	0.39	19.5	42	51993
9	4	931-27082014_Mouse 1189250.fcs	GFP-	20.3	3.64	0.085	9.3	50	268791
9	5	931-27082014_Mouse 1199334.fcs	GFP-	27.9	6.17	0.26	29.4	22.7	77459
9	mock3	931-27082014_Mouse 1199335.fcs	GFP-	21.8	3.92	0.14	9.23	49.3	67585
10	1	64: 931-24092014_TUBE_001 Mouse 1186366.fcs	GFP-	86.2	2.32	0.12	8.15	0.27	385567
10	2	65: 931-24092014_TUBE_002 Mouse 1186367.fcs	GFP-	80.2	2.47	0.2	11.3	0.9	584616
10	3	66: 931-24092014_TUBE_003 Mouse 1189249.fcs	GFP-	76.5	3.45	0.71	12.5	0.63	375348
10	4	67: 931-24092014_TUBE_004 Mouse 1189250.fcs	GFP-	82.5	2.35	0.25	9.45	0.67	6.40E+05
10	mock2	68: 931-24092014_TUBE_005 Mouse 1189248.fcs	GFP-	69.4	4.32	0.5	16.7	0.62	336130
10	mock1	69: 931-24092014_TUBE_006 Mouse 1177160.fcs	GFP-	69.1	5.07	0.37	11.3	4.48	298973
10	5	70: 931-24092014_TUBE_007 Mouse 1199334.fcs	GFP-	61.7	12.5	0.43	15.3	2.54	2.60E+05
10	mock3	71: 931-24092014_TUBE_008 Mouse 1199335.fcs	GFP-	52.7	3.09	0.71	37.8	1.42	12124
11	mock1	48: 931-22102014_Mouse 1177160.fcs	GFP-	53.8	10.4	0.32	20.1	4.46	316803
11	1	49: 931-22102014_Mouse 1186366.fcs	GFP-	53.2	14.8	0.19	21.5	2.07	287330
11	2	50: 931-22102014_Mouse 1186367.fcs	GFP-	57.7	6.73	0.073	24.1	2.72	471094
11	mock2	51: 931-22102014_Mouse 1189248.fcs	GFP-	34.8	8.04	0.1	40.1	3.87	350668
11	3	52: 931-22102014_Mouse 1189249.fcs	GFP-	52.9	4.57	0.29	30	2.24	306615
11	4	53: 931-22102014_Mouse 1189250.fcs	GFP-	60.6	7.78	7.90E-02	22	1.4	357734
11	5	54: 931-22102014_Mouse 1199334.fcs	GFP-	31.3	6.93	1.30E-01	41.9	5.97	276538
11	mock3	55: 931-22102014_Mouse 1199335.fcs	GFP-	61.9	13	0.2	12.3	3.71	364576
12	mock1	8: 931-18112014_Mouse 1177160.fcs	GFP-	64.5	7.06	0.31	15.6	3.04	162632
12	1	9: 931-18112014_Mouse 1186366.fcs	GFP-	67.6	3.53	0.14	12	4.94	3.92E+05
12	2	10: 931-18112014_Mouse 1186367.fcs	GFP-	69.5	5.17	0.049	13.2	3.5	450650
12	mock2	11: 931-18112014_Mouse 1189248.fcs	GFP-	43.5	7.82	0.34	29.9	2.88	247328
12	3	12: 931-18112014_Mouse 1189249.fcs	GFP-	56.9	4.84	0.36	24.7	2.57	1.90E+05
12	4	13: 931-18112014_Mouse 1189250.fcs	GFP-	74.5	4.53	0.086	12	1.61	193095
12	5	14: 931-18112014_Mouse 1199334.fcs	GFP-	34.8	5.32	0.067	39.1	4.27	239423
12	mock3	15: 931-18112014_Mouse 1199335.fcs	GFP-	68.7	7.15	0.17	10.1	3.54	157654
13	mock1	1: 931-17122014_Mouse 1177160.fcs	GFP-	48.9	11.6	0.44	28.8	1.93	143035
13	1	2: 931-17122014_Mouse 1186366.fcs	GFP-	65.8	5.15	0.19	21.4	1.93	248277
13	2	3: 931-17122014_Mouse 1186367.fcs	GFP-	39.8	8.94	0.21	38.7	1.89	46932
13	mock2	4: 931-17122014_Mouse 1189248.fcs	GFP-	30.2	6.96	0.47	47.4	3.12	253717
13	3	5: 931-17122014_Mouse 1189249.fcs	GFP-	43.2	5.68	1.31	39.1	1.68	210869
13	4	6: 931-17122014_Mouse 1189250.fcs	GFP-	66.5	5.1	0.15	20.7	1.6	363693
13	mock3	7: 931-17122014_Mouse 1199335.fcs	GFP-	66.1	7.56	0.23	17.1	2.91	187727
14	mock1	16: 931-20150121_Mouse 1177160.fcs	GFP-	55.2	2.82	0.16	28.5	3.97	82047
14	1	17: 931-20150121_Mouse 1186366.fcs	GFP-	81.3	1.27	0.065	12.8	1.34	904200
14	2	18: 931-20150121_Mouse 1186367.fcs	GFP-	65.7	1.94	0.056	24.9	1.49	395483
14	mock2	19: 931-20150121_Mouse 1189248.fcs	GFP-	17.7	16	0.61	51.4	3.2	793947
14	3	20: 931-20150121_Mouse 1189249.fcs	GFP-	44.5	3.03	0.6	41.3	1.75	2.30E+05
14	4	21: 931-20150121_Mouse 1189250.fcs	GFP-	77.2	2.19	0.086	14.3	1.37	532521
14	mock3	22: 931-20150121_Mouse 1199335.fcs	GFP-	75.4	1.86	0.074	15.7	2.75	156351
15	mock1	23: 931-20150226_Mouse 1177160.fcs	GFP-	65.9	7.33	0.82	20	1.78	26831
15	1	24: 931-20150226_Mouse 1186366.fcs	GFP-	7.17E+01	7.64	0.32	15.8	0.94	36786
15	2	25: 931-20150226_Mouse 1186367.fcs	GFP-	6.72E+01	10.7	0.24	17.2	1.06	55945
15	mock3	26: 931-20150305_Mouse 35.fcs	GFP-	74.8	6.81	8.20E-01	10.6	1.79	48809
15	3	27: 931-20150305_Mouse 49.fcs	GFP-	42.5	8.46	9.34	28.4	2.06	42862
15	4	28: 931-20150305_Mouse 50.fcs	GFP-	72.3	4.81	1.11	15.4	1.27	71220
